# 
# Solution parameters:
# - mu = 1
# - rh = 0.1
# - omega = 0.83
# - m = 1
# - c = 1 (radial coord compactification parameter)
#
# Self-interaction
# V(phi) = mu^2 |phi|^2 + lambda |phi|^4
# Convention 4piG=1 (G_ab = 2 T_ab)
# - normalization_Tmunu = 0
# - lambda = 1000
#
# Convention for Wbar = r^p * W
# - p = 2
#
# Physical quantities
# - M = 6.91729
# - J = 7.30774
# - Mmat/M = 0.992450
# - Jmat/J = 0.999510
# - AH = 0.343684
#
  0.0000000000000000E+00  0.0000000000000000E+00  0.5039341510435386E+00  0.5021812410632402E+00 -0.5699141478449854E+00  0.0000000000000000E+00  0.8300000000004226E-02
  0.1251564455569462E-02  0.0000000000000000E+00  0.5039263466870494E+00  0.5021734367051196E+00 -0.5699063432776824E+00  0.0000000000000000E+00  0.8299581779664000E-02
  0.2503128911138924E-02  0.0000000000000000E+00  0.5039028675278960E+00  0.5021499575442018E+00 -0.5698828634873654E+00  0.0000000000000000E+00  0.8298323305165986E-02
  0.3754693366708385E-02  0.0000000000000000E+00  0.5038636325119159E+00  0.5021107225276044E+00 -0.5698436274171219E+00  0.0000000000000000E+00  0.8296219411331459E-02
  0.5006257822277847E-02  0.0000000000000000E+00  0.5038085850568677E+00  0.5020556750727539E+00 -0.5697885784802175E+00  0.0000000000000000E+00  0.8293265686411765E-02
  0.6257822277847309E-02  0.0000000000000000E+00  0.5037376934087217E+00  0.5019847834255649E+00 -0.5697176849178760E+00  0.0000000000000000E+00  0.8289458487084320E-02
  0.7509386733416771E-02  0.0000000000000000E+00  0.5036509509023986E+00  0.5018980409208501E+00 -0.5696309400597698E+00  0.0000000000000000E+00  0.8284794951933485E-02
  0.8760951188986232E-02  0.0000000000000000E+00  0.5035483761163999E+00  0.5017954661369929E+00 -0.5695283624786766E+00  0.0000000000000000E+00  0.8279273013225924E-02
  0.1001251564455569E-01  0.0000000000000000E+00  0.5034300129209439E+00  0.5016771029441571E+00 -0.5694099960386926E+00  0.0000000000000000E+00  0.8272891406932456E-02
  0.1126408010012516E-01  0.0000000000000000E+00  0.5032959304187519E+00  0.5015430204449919E+00 -0.5692759098359084E+00  0.0000000000000000E+00  0.8265649680933599E-02
  0.1251564455569462E-01  0.0000000000000000E+00  0.5031462227786955E+00  0.5013933128083108E+00 -0.5691261980321258E+00  0.0000000000000000E+00  0.8257548201354064E-02
  0.1376720901126408E-01  0.0000000000000000E+00  0.5029810089624999E+00  0.5012280989957715E+00 -0.5689609795814987E+00  0.0000000000000000E+00  0.8248588156964172E-02
  0.1501877346683354E-01  0.0000000000000000E+00  0.5028004323469085E+00  0.5010475223840621E+00 -0.5687803978527388E+00  0.0000000000000000E+00  0.8238771561614245E-02
  0.1627033792240300E-01  0.0000000000000000E+00  0.5026046602437823E+00  0.5008517502849853E+00 -0.5685846201492134E+00  0.0000000000000000E+00  0.8228101254662045E-02
  0.1752190237797246E-01  0.0000000000000000E+00  0.5023938833209521E+00  0.5006409733663046E+00 -0.5683738371297613E+00  0.0000000000000000E+00  0.8216580899355095E-02
  0.1877346683354193E-01  0.0000000000000000E+00  0.5021683149289059E+00  0.5004154049784664E+00 -0.5681482621354440E+00  0.0000000000000000E+00  0.8204214979161045E-02
  0.2002503128911139E-01  0.0000000000000000E+00  0.5019281903375624E+00  0.5001752803913319E+00 -0.5679081304262690E+00  0.0000000000000000E+00  0.8191008792023492E-02
  0.2127659574468085E-01  0.0000000000000000E+00  0.5016737658891207E+00  0.4999208559470398E+00 -0.5676536983340714E+00  0.0000000000000000E+00  0.8176968442547892E-02
