# 
# Solution parameters:
# - mu = 1
# - rh = 0.275
# - Omega_H = 0.98
# - m = 1
# - c = 1 (radial coord compactification parameter)
#
# Convention for Wbar = r^p * W
# - p = 2
#
# Physical quantities
# - M = 0.46138
# - J = 0.30091
# - Mmat/M = 0.60521
# - Jmat/J = 0.92414
# - AH = 1.53264
#
  0.0000000000000000E+00  0.0000000000000000E+00  0.2389685651674723E+00  0.2389682277131461E+00 -0.2394209641923140E+00  0.0000000000000000E+00  0.7411250000003781E-01
  0.1251564455569462E-02  0.0000000000000000E+00  0.2389660191768870E+00  0.2389656817218689E+00 -0.2394184181973478E+00  0.0000000000000000E+00  0.7411237885177119E-01
  0.2503128911138924E-02  0.0000000000000000E+00  0.2389583561236667E+00  0.2389580186686115E+00 -0.2394107551329857E+00  0.0000000000000000E+00  0.7411201416261318E-01
  0.3754693366708385E-02  0.0000000000000000E+00  0.2389455389188281E+00  0.2389452014653868E+00 -0.2393979379111817E+00  0.0000000000000000E+00  0.7411140400960910E-01
  0.5006257822277847E-02  0.0000000000000000E+00  0.2389275312048940E+00  0.2389271937546756E+00 -0.2393799301743575E+00  0.0000000000000000E+00  0.7411054639706434E-01
  0.6257822277847309E-02  0.0000000000000000E+00  0.2389042973747804E+00  0.2389039599294480E+00 -0.2393566963154211E+00  0.0000000000000000E+00  0.7410943925425889E-01
  0.7509386733416771E-02  0.0000000000000000E+00  0.2388758025939494E+00  0.2388754651551778E+00 -0.2393282014997837E+00  0.0000000000000000E+00  0.7410808043419227E-01
  0.8760951188986232E-02  0.0000000000000000E+00  0.2388420128217912E+00  0.2388416753912511E+00 -0.2392944116867657E+00  0.0000000000000000E+00  0.7410646771217576E-01
  0.1001251564455569E-01  0.0000000000000000E+00  0.2388028948328510E+00  0.2388025574122325E+00 -0.2392552936508640E+00  0.0000000000000000E+00  0.7410459878446231E-01
  0.1126408010012516E-01  0.0000000000000000E+00  0.2387584162378948E+00  0.2387580788288922E+00 -0.2392108150027797E+00  0.0000000000000000E+00  0.7410247126692313E-01
  0.1251564455569462E-01  0.0000000000000000E+00  0.2387085455048992E+00  0.2387082081092150E+00 -0.2391609442104265E+00  0.0000000000000000E+00  0.7410008269380672E-01
  0.1376720901126408E-01  0.0000000000000000E+00  0.2386532519796170E+00  0.2386529145989534E+00 -0.2391056506194836E+00  0.0000000000000000E+00  0.7409743051648082E-01
  0.1501877346683354E-01  0.0000000000000000E+00  0.2385925059060114E+00  0.2385921685420767E+00 -0.2390449044738437E+00  0.0000000000000000E+00  0.7409451210225801E-01
  0.1627033792240300E-01  0.0000000000000000E+00  0.2385262784464955E+00  0.2385259411010001E+00 -0.2389786769358454E+00  0.0000000000000000E+00  0.7409132473329126E-01
  0.1752190237797246E-01  0.0000000000000000E+00  0.2384545417016629E+00  0.2384542043763151E+00 -0.2389069401060000E+00  0.0000000000000000E+00  0.7408786560545373E-01
  0.1877346683354193E-01  0.0000000000000000E+00  0.2383772687299235E+00  0.2383769314264419E+00 -0.2388296670426454E+00  0.0000000000000000E+00  0.7408413182733815E-01
  0.2002503128911139E-01  0.0000000000000000E+00  0.2382944335667128E+00  0.2382940962868206E+00 -0.2387468317811371E+00  0.0000000000000000E+00  0.7408012041928190E-01
  0.2127659574468085E-01  0.0000000000000000E+00  0.2382060112434528E+00  0.2382056739888747E+00 -0.2386584093528117E+00  0.0000000000000000E+00  0.7407582831248140E-01
  0.2252816020025031E-01  0.0000000000000000E+00  0.2381119778060008E+00  0.2381116405784637E+00 -0.2385643758034396E+00  0.0000000000000000E+00  0.7407125234812409E-01
  0.2377972465581978E-01  0.0000000000000000E+00  0.2380123103328701E+00  0.2380119731341049E+00 -0.2384647082114473E+00  0.0000000000000000E+00  0.7406638927663310E-01
  0.2503128911138924E-01  0.0000000000000000E+00  0.2379069869528470E+00  0.2379066497845824E+00 -0.2383593847055248E+00  0.0000000000000000E+00  0.7406123575691742E-01
  0.2628285356695870E-01  0.0000000000000000E+00  0.2377959868623577E+00  0.2377956497263242E+00 -0.2382483844820043E+00  0.0000000000000000E+00  0.7405578835574438E-01
  0.2753441802252816E-01  0.0000000000000000E+00  0.2376792903423386E+00  0.2376789532402767E+00 -0.2381316878217338E+00  0.0000000000000000E+00  0.7405004354716828E-01
  0.2878598247809762E-01  0.0000000000000000E+00  0.2375568787746375E+00  0.2375565417082916E+00 -0.2380092761064632E+00  0.0000000000000000E+00  0.7404399771202876E-01
  0.3003754693366708E-01  0.0000000000000000E+00  0.2374287346579695E+00  0.2374283976290864E+00 -0.2378811318348064E+00  0.0000000000000000E+00  0.7403764713753822E-01
  0.3128911138923655E-01  0.0000000000000000E+00  0.2372948416232762E+00  0.2372945046336058E+00 -0.2377472386376026E+00  0.0000000000000000E+00  0.7403098801691649E-01
  0.3254067584480601E-01  0.0000000000000000E+00  0.2371551844486052E+00  0.2371548474998989E+00 -0.2376075812927915E+00  0.0000000000000000E+00  0.7402401644911701E-01
  0.3379224030037547E-01  0.0000000000000000E+00  0.2370097490734427E+00  0.2370094121674560E+00 -0.2374621457397519E+00  0.0000000000000000E+00  0.7401672843863252E-01
  0.3504380475594493E-01  0.0000000000000000E+00  0.2368585226125755E+00  0.2368581857510689E+00 -0.2373109190931617E+00  0.0000000000000000E+00  0.7400911989540837E-01
  0.3629536921151439E-01  0.0000000000000000E+00  0.2367014933693067E+00  0.2367011565540470E+00 -0.2371538896562128E+00  0.0000000000000000E+00  0.7400118663481996E-01
  0.3754693366708386E-01  0.0000000000000000E+00  0.2365386508480421E+00  0.2365383140807982E+00 -0.2369910469331940E+00  0.0000000000000000E+00  0.7399292437772269E-01
  0.3879849812265332E-01  0.0000000000000000E+00  0.2363699857663716E+00  0.2363696490489151E+00 -0.2368223816415747E+00  0.0000000000000000E+00  0.7398432875062338E-01
  0.4005006257822278E-01  0.0000000000000000E+00  0.2361954900663920E+00  0.2361951534004972E+00 -0.2366478857233297E+00  0.0000000000000000E+00  0.7397539528589575E-01
  0.4130162703379224E-01  0.0000000000000000E+00  0.2360151569255815E+00  0.2360148203130263E+00 -0.2364675523558124E+00  0.0000000000000000E+00  0.7396611942214920E-01
  0.4255319148936170E-01  0.0000000000000000E+00  0.2358289807667786E+00  0.2358286442093464E+00 -0.2362813759617358E+00  0.0000000000000000E+00  0.7395649650461079E-01
  0.4380475594493116E-01  0.0000000000000000E+00  0.2356369572677443E+00  0.2356366207672191E+00 -0.2360893522187277E+00  0.0000000000000000E+00  0.7394652178568034E-01
